date,time,lat,lon,depth,ML
1981/5/14,22:51.7,23.189,120.6292,7.18,5.12
1981/6/1,53:44.1,24.3792,121.875,1.5,5
1981/6/4,22:07.2,22.07,121.5067,3,5.51
1981/6/28,01:51.1,21.7878,121.579,91.3,5.4
1981/10/15,47:07.6,22.0273,120.8855,40,5.24
1981/11/2,21:47.2,23.3708,121.7253,42.02,5.1
1981/12/12,56:39.2,23.4442,121.625,29.79,5.35
1982/1/14,52:10.5,22.0725,120.5603,23.12,5.02
1982/1/23,10:39.8,23.9142,121.6263,3.25,5.8
1982/2/17,53:53.7,23.6967,121.6793,14.31,5.13
1982/5/6,15:51.4,24.7662,122.3865,78.69,5.2
1982/6/19,25:43.1,22.8032,121.7342,0.45,5.04
1982/10/20,04:54.7,23.7878,121.9492,0.78,5.43
1982/10/20,01:54.6,23.766,121.9563,3.13,6
1982/10/31,56:15.8,24.7695,122.187,9.84,5.2
1982/11/4,08:34.1,22.7433,121.6312,117.68,5.21
1983/1/31,01:44.1,22.0188,121.6232,14.54,5.7
1983/1/31,47:42.9,21.998,121.5767,16.7,5.01
1983/2/26,05:36.3,22.467,121.079,6.26,5.29
1983/4/26,15:36.2,24.1147,121.8102,62.29,5.13
1983/5/7,58:02.1,24.4832,121.505,3.09,5.14
1983/5/10,15:03.8,24.4582,121.5073,1.23,6
1983/5/15,13:49.3,23.2935,122.3887,7.45,5.08
1983/6/21,38:48.1,23.9488,122.4348,23.73,5.09
1983/6/21,55:03.6,23.4907,121.7077,29.31,5.12
1983/6/25,01:29.5,23.3087,122.3765,5.66,5.4
1983/7/3,52:58.6,23.104,121.9813,18.67,5.05
1983/7/15,39:06.8,23.02,121.2452,13.6,5.84
1983/8/14,24:25.8,21.632,122.0468,1.27,5.79
1983/9/7,11:56.5,23.8987,122.4878,21.68,6.39
1983/9/21,20:40.7,23.9382,122.3167,18,6.54
1983/9/21,34:43.4,23.9382,122.2808,7.92,5.04
1983/9/21,55:29.0,23.9438,122.3907,11.32,5.29
1983/9/22,04:42.2,24.0028,122.3657,3.62,5.35
1983/9/23,29:21.3,23.8918,122.3492,12.32,5.96
1983/9/25,29:40.9,23.8608,122.3808,11.51,5.08
1983/10/5,29:37.4,23.9937,121.8128,32.44,5.25
1983/12/8,53:42.5,24.3065,121.9028,3.68,5.09
1983/12/22,37:25.8,22.2245,121.0145,4.47,5.24
1984/1/19,12:34.4,24.0372,122.4925,21.62,5.26
1984/2/13,49:10.2,25.0073,121.9928,168.42,5.48
1984/3/25,48:13.0,21.8652,121.0663,17.95,5.15
1984/4/11,51:09.6,21.509,121.0613,47.67,5
1984/4/16,41:55.9,24.2807,122.1382,24.78,5.08
1984/4/18,34:18.3,24.7957,122.2338,5.86,5.45
1984/4/19,28:59.2,24.823,122.2385,6.1,5.38
1984/4/23,35:04.0,24.7885,122.089,8.71,5.55
1984/5/20,47:40.1,24.9112,122.2788,4.59,5.18
1984/5/20,24:32.3,24.2497,121.8215,0.93,5.64
1984/5/21,45:45.7,22.0472,122.0483,7.39,5.26
1984/6/3,22:46.6,22.7097,121.4293,27.86,5.25
1984/6/9,38:59.7,24.3132,121.8692,11.61,5.12
1984/6/23,53:00.9,22.5453,122.1732,8,5.74
1984/7/5,34:56.9,22.6485,121.0595,0.2,5.05
1984/7/11,00:25.1,23.946,122.2868,7.03,5.18
1984/8/20,44:24.6,22.92,120.6273,12.04,5.14
1984/9/21,22:35.1,23.972,122.39,3.54,5.25
1984/10/13,50:47.4,21.9538,121.1007,57.52,5.41
1984/11/4,31:33.8,23.9375,122.4068,10.09,5.6
1984/11/5,37:05.2,22.9603,121.4942,31.38,5.22
1984/12/23,35:25.5,24.8282,122.3938,9.31,5.1
1984/12/29,07:02.7,24.7958,122.0212,60.74,5.89
1985/1/13,51:24.8,24.0078,122.216,44.15,5.73
1985/1/20,36:19.2,23.8382,121.9773,29.57,5.3
1985/3/9,51:00.5,24.7598,122.2325,4.05,5.48
1985/5/12,00:07.4,24.4017,122.0765,23.09,5.05
1985/6/12,23:13.3,24.5902,122.2322,5.3,5.5
1985/6/12,22:50.8,24.573,122.1947,3.31,6.09
1985/6/12,34:10.4,24.5363,122.2532,2.39,5.28
1985/6/22,32:56.8,22.7268,121.2795,20.87,5.11
1985/6/29,05:07.8,21.5385,121.4442,34.23,5.15
1985/7/4,40:02.2,22.5083,121.3503,17.74,5.23
1985/7/10,06:20.3,24.1895,121.725,32.35,5.13
1985/8/5,00:38.6,24.3825,121.8828,1.32,5.37
1985/8/5,02:36.5,24.4608,121.7743,0.75,5.28
1985/8/12,21:33.3,24.7118,121.785,8.04,5.23
1985/8/20,02:09.9,23.7188,121.7402,23.64,5.21
1985/8/29,40:38.9,24.2273,122.2513,3.49,5.22
1985/8/30,09:51.5,24.4192,121.9108,12.65,5.03
1985/9/20,01:24.0,24.5328,122.1978,6.11,5.9
1985/10/17,12:15.1,22.087,121.5467,5.61,5.35
1985/11/18,01:47.9,23.8993,122.4788,3.29,5.08
1985/11/20,09:38.8,23.8235,122.3867,9.35,5.03
1985/11/22,29:59.6,22.5497,122.0028,15.46,5.42
1985/11/26,27:04.8,22.5987,121.8718,29.76,5.11
1985/11/27,09:25.5,24.8505,122.4955,7.4,5.26
1985/12/5,35:05.3,22.0137,121.628,113.42,5.13
